Country,Destination,Description,Architecture,Nature,Shopping,Fishing,Hiking,Outdoor Recreation,Adventure,Beaches,Camping,Caves,Museums,National Parks,Art,Desert,Coral reef,Skiing,Snowboarding,Winter sports,Wildlife,Penguin,Glacier,Ecotourism,Snorkeling,Koala,Surfing,Nature reserve,Volcano,Sailing,Scuba diving,Theaters,Elephant,Safari,Jaguar,Casinos,Kitesurfing,Windsurfing,Birdwatching,Rainforest,Nightlife,Whale watching,Reindeer,Gorilla,Kayaking,Polar bear,Hot spring,Tiger,Yoga,Orangutan,Golf,Rafting,Autumn leaf color,Dolphin,Wine tasting,Climbing,Paragliding,Bungee jumping,Whale shark,Alpine skiing,Historic site
India,Jaipur,"Jaipur is the capital of India’s Rajasthan state. It evokes the royal family that once ruled the region and that, in 1727, founded what is now called the Old City, or “Pink City” for its trademark building color. At the center of its stately street grid (notable in India) stands the opulent, colonnaded City Palace complex. With gardens, courtyards and museums, part of it is still a royal residence.Across from the City Palace is Jantar Mantar, an open-air astronomical observatory from the early 18th century. Also nearby is the Hawa Mahal (Palace of the Winds), a former cloister for royal women fronted by a rippling 5-story screen of pink sandstone. Several kilometers outside the city center, elephants carry visitors uphill to the imposing Amer Fort, which features elaborate wall carvings and paintings. On the way to the fort, many visitors stop on the banks of Man Sagar Lake to photograph Jal Mahal, a partially submerged palace that famously reflects in the water.",yes,yes,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
India,Varanasi,"Varanasi is a city in the northern Indian state of Uttar Pradesh dating to the 11th century B.C. Regarded as the spiritual capital of India, the city draws Hindu pilgrims who bathe in the Ganges River’s sacred waters and perform funeral rites. Along the city's winding streets are some 2,000 temples, including Kashi Vishwanath, the “Golden Temple,” dedicated to the Hindu god Shiva.Boat cruises take visitors past the many ghats (steps leading down to the river) on the waterfront, including the Dashashwamedh Ghat to watch the fiery aarti ritual, performed nightly. Manikarnika Ghat is the principal cremation ground of Varanasi, with 24-hour flaming funeral pyres. Another notable ghat is Man Mandir Ghat, topped by a large palace built in 1600. Above the river, the Mughal-style Ramnagar Fort was the palace of the former Maharaja of Varanasi and is now a museum. About 11km north of town, Sarnath, where Buddha gave his first sermon at the site of Dhamekh Stupa, features ancient temples.",yes,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
India,Agra,"Agra is a city in northern India’s Uttar Pradesh state. It's home to the iconic Taj Mahal, a mausoleum built for the Mughal ruler Shah Jahan’s wife, Mumtaz Mahal (who died in childbirth in 1631). The imposing main building features a massive dome and intricately carved white marble inlaid with precious stones. This is set behind a reflecting pool inside a courtyard defined by 4 minarets.Near the Taj Mahal are the 20m-high red-brick walls of Agra Fort, a grand Mughal fortress and palace, much of it dating to the 16th and 17th centuries. Across the Yamuna River is another striking tomb, Itimad-ud-Daula, which prefigures the Taj Mahal by a few years, earning it the nickname ""Baby Taj.” West of the city is the remarkably well-preserved “ghost city” of Fatehpur Sikri, whose red-sandstone royal apartments, harem quarters and pavilions date to the late 1500s, when it was briefly the capital of the Mughal empire.",yes,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
India,Delhi,"Delhi, India’s capital territory, is a massive metropolitan area in the country’s north. In Old Delhi, a neighborhood dating to the 1600s, stands the imposing Mughal-era Red Fort, a symbol of India, and the sprawling Jama Masjid mosque, whose courtyard accommodates 25,000 people. Nearby is Chandni Chowk, a vibrant bazaar filled with food carts, sweets shops and spice stalls.The Rajpath, a formal boulevard in the New Delhi government district, connects the India Gate war memorial and the massive presidential palace Rashtrapati Bhavan. Other significant sites include Lodi Gardens, a park featuring monumental tombs and acres of greenery; Mughal emperor Humayun’s tomb, a precursor of the Taj Mahal; Qutub Minar, a medieval brick minaret; and the flower-shaped Lotus Temple, a Bahá'í house of worship. Delhi also has a strong nightclub scene as well as many prominent museums, including ones dedicated to Mahatma Gandhi and Jawaharlal Nehru, leaders of Indian independence.",yes,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
India,Khajuraho,"The Khajuraho Group of Monuments is a group of Hindu temples and Jain temples in Chhatarpur district, Madhya Pradesh, India, about 175 kilometres southeast of Jhansi. They are a UNESCO World Heritage Site. The temples are famous for their nagara-style architectural symbolism and their erotic sculptures.
Most Khajuraho temples were built between 950 AD and 1050 AD by the Chandela dynasty. Historical records note that the Khajuraho temple site had 85 temples by the 12th century, spread over 20 square kilometers. Of these, only about 25 temples have survived, spread over six square kilometers. Of the surviving temples, the Kandariya Mahadeva Temple is decorated with a profusion of sculptures with intricate details, symbolism and expressiveness of ancient Indian art.
The Khajuraho group of temples were built together but were dedicated to two religions, Hinduism and Jainism, suggesting a tradition of acceptance and respect for diverse religious views among Hindus and Jains in the region. Wikipedia",yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
India,Madurai,"Madurai is an energetic, ancient city on the Vaigai River in the South Indian state of Tamil Nadu. Its skyline is dominated by the 14 colorful gopurams (gateway towers) of Meenakshi Amman Temple. Covered in bright carvings of Hindu gods, the Dravidian-style temple is a major pilgrimage site. Millions attend the processions and ceremonies of April's Chithirai Festival celebrating Meenakshi and Lord Vishnu.Flower vendors near Meenakshi Amman sell fragrant heaps of jasmine and marigolds used as devotional offerings. Sound and light shows dramatize the history of Thirumalai Nayak Mahal, a colonnaded 1636 palace with Dravidian and Islamic architectural features. The Gandhi Memorial Museum, in a domed 17th-century palace, documents the Indian struggle for independence. Beyond the old city lies Vandiyur Mariamman Teppakulam, a vast temple tank filled by the Vaigai River. Every January or February it hosts Madurai's Float Festival, in which Hindu icons are placed into the tank on ornamental rafts.",yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
India,Udaipur,"Udaipur, formerly the capital of the Mewar Kingdom, is a city in the western Indian state of Rajasthan. Founded by Maharana Udai Singh II in 1559, it’s set around a series of artificial lakes and is known for its lavish royal residences. City Palace, overlooking Lake Pichola, is a monumental complex of 11 palaces, courtyards and gardens, famed for its intricate peacock mosaics.Lake Pichola boat tours take visitors past the 18th-century, white-marble Lake Palace, which covers an entire island and is now a hotel. Another island contains the domed Jagmandir Palace, former summer resort of the Maharanas, mostly constructed in the 17th century. Elsewhere, in Udaipur’s sprawling old city, is towering Jagdish Temple, completed in 1651 and dedicated to the Hindu god Vishnu. The Bhartiya Lok Kala Museum of regional folk art is known for its traditional puppet shows, while the hilltop Monsoon Palace offers sweeping views of the city and the surrounding ridges.",yes,yes,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
India,Vrindavan,"Vrindavan is a holy town in Uttar Pradesh, northern India. The Hindu deity Krishna is said to have spent his childhood here. It’s home to temples, many dedicated to Krishna and his lover, the deity Radha. At Banke Bihari Temple, the curtain in front of Krishna’s statue is opened and closed every few minutes. At Radha Raman Temple, a gold plate beside Krishna signifies Radha. Prem Mandir is a huge white marble temple.The 16th-century Madan Mohan Temple is close to the Yamuna River. It’s a backdrop to Keshi Ghat, a flight of steps leading down to the river. The ghat is considered holy because it’s said that Krishna bathed here after he killed the demon Keshi. Seva Kunj is a garden with holy basil trees. It’s reputed that Krishna spent time here with Radha as she prepared for a holy dance, the Raas Leela. At its heart is a small temple with a statue and paintings of the holy pair. Nearby, to the south, is Vrindavan’s twin holy town of Mathura. Krishna is said to have been born here, on the site where Sri Krishna Janmabhoomi now stands.",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
India,Mysuru,"Mysore (or Mysuru), a city in India's southwestern Karnataka state, was the capital of the Kingdom of Mysore from 1399 to 1947. In its center is opulent Mysore Palace, seat of the former ruling Wodeyar dynasty. The palace blends Hindu, Islamic, Gothic and Rajput styles. Mysore is also home to the centuries-old Devaraja Market, filled with spices, silk and sandalwood.The Jaganmohan Palace, a Wodeyar structure in traditional Hindu style, displays an extensive collection of South Indian art. St. Philomena's Church is a grand, Neo-Gothic-style Catholic church featuring 53m-tall twin spires. Standing atop Chamundi Hills outside the city, Chamundeshwari Temple is an intricate Hindu shrine believed to date back to the 12th century. At the base of Chamundi Hills, picturesque Karanji Lake is a habitat for numerous bird species. Further afield, Brindavan Gardens offers a vast spread of landscaped gardens, blooms and trees, as well as a boating lake and a musical fountain.",yes,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
India,Thanjavur,"Thanjavur is a city in the south Indian state of Tamil Nadu. Its many temples include the 11th-century Brihadeeswarar Temple, a vast Chola dynasty–era complex with a frescoed interior. Thanjavur Maratha Palace is home to the centuries-old Saraswathi Mahal Library, with palm-leaf manuscripts, and Thanjavur Art Gallery, with bronze statues. Tamil University Museum displays coins, folk artifacts and musical instruments.",yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
