Country,Destination,Month,Popularity,MinTemp,MaxTemp,Precipitation
India,Jaipur,February,2,11°,26°,4%
India,Jaipur,March,2,16°,32°,3%
India,Jaipur,April,2,22°,37°,4%
India,Jaipur,May,2.5,26°,41°,6%
India,Jaipur,June,3,27°,39°,18%
India,Jaipur,July,2.5,25°,34°,42%
India,Jaipur,August,2,24°,33°,42%
India,Jaipur,September,1.5,23°,34°,18%
India,Jaipur,October,1.5,19°,34°,5%
India,Jaipur,November,2,13°,29°,2%
India,Jaipur,December,2.5,9°,24°,2%
India,Jaipur,January,2.5,8°,22°,3%
India,Varanasi,February,2.5,,,
India,Varanasi,March,2.5,,,
India,Varanasi,April,2.5,,,
India,Varanasi,May,3,,,
India,Varanasi,June,3,,,
India,Varanasi,July,3,,,
India,Varanasi,August,2,,,
India,Varanasi,September,1.5,,,
India,Varanasi,October,1.5,,,
India,Varanasi,November,2,,,
India,Varanasi,December,2,,,
India,Varanasi,January,2,,,
India,Agra,February,2,,,
India,Agra,March,2.5,,,
India,Agra,April,2,,,
India,Agra,May,2,,,
India,Agra,June,3,,,
India,Agra,July,2,,,
India,Agra,August,1.5,,,
India,Agra,September,1.5,,,
India,Agra,October,2,,,
India,Agra,November,2,,,
India,Agra,December,3,,,
India,Agra,January,2.5,,,
India,Khajuraho,February,2.5,,,
India,Khajuraho,March,2.5,,,
India,Khajuraho,April,1.5,,,
India,Khajuraho,May,1.5,,,
India,Khajuraho,June,1.5,,,
India,Khajuraho,July,2,,,
India,Khajuraho,August,2.5,,,
India,Khajuraho,September,2,,,
India,Khajuraho,October,3,,,
India,Khajuraho,November,2,,,
India,Khajuraho,December,2.5,,,
India,Khajuraho,January,2.5,,,
India,Madurai,February,2,,,
India,Madurai,March,2,,,
India,Madurai,April,3,,,
India,Madurai,May,3,,,
India,Madurai,June,3,,,
India,Madurai,July,2.5,,,
India,Madurai,August,2,,,
India,Madurai,September,1.5,,,
India,Madurai,October,1.5,,,
India,Madurai,November,1.5,,,
India,Madurai,December,2.5,,,
India,Madurai,January,2.5,,,
India,Udaipur,February,2,,,
India,Udaipur,March,2,,,
India,Udaipur,April,1.5,,,
India,Udaipur,May,2,,,
India,Udaipur,June,2.5,,,
India,Udaipur,July,2,,,
India,Udaipur,August,2,,,
India,Udaipur,September,1.5,,,
India,Udaipur,October,2,,,
India,Udaipur,November,2.5,,,
India,Udaipur,December,3.5,,,
India,Udaipur,January,3,,,
India,Vrindavan,February,1.5,,,
India,Vrindavan,March,3,,,
India,Vrindavan,April,2,,,
India,Vrindavan,May,2.5,,,
India,Vrindavan,June,3.5,,,
India,Vrindavan,July,3,,,
India,Vrindavan,August,3,,,
India,Vrindavan,September,1.5,,,
India,Vrindavan,October,1.5,,,
India,Vrindavan,November,1.5,,,
India,Vrindavan,December,1.5,,,
India,Vrindavan,January,1.5,,,
India,Mysuru,February,1.5,,,
India,Mysuru,March,1.5,,,
India,Mysuru,April,2,,,
India,Mysuru,May,3.5,,,
India,Mysuru,June,3,,,
India,Mysuru,July,2.5,,,
India,Mysuru,August,1.5,,,
India,Mysuru,September,1.5,,,
India,Mysuru,October,2.5,,,
India,Mysuru,November,1.5,,,
India,Mysuru,December,2.5,,,
India,Mysuru,January,2,,,
India,Thanjavur,February,2,,,
India,Thanjavur,March,2.5,,,
India,Thanjavur,April,2.5,,,
India,Thanjavur,May,3,,,
India,Thanjavur,June,3,,,
India,Thanjavur,July,2.5,,,
India,Thanjavur,August,2,,,
India,Thanjavur,September,1.5,,,
India,Thanjavur,October,1.5,,,
India,Thanjavur,November,1.5,,,
India,Thanjavur,December,2.5,,,
India,Thanjavur,January,2.5,,,
India,New Delhi,February,2,10°,24°,8%
India,New Delhi,March,2.5,16°,30°,7%
India,New Delhi,April,2.5,21°,37°,4%
India,New Delhi,May,2.5,26°,40°,6%
India,New Delhi,June,3,28°,39°,17%
India,New Delhi,July,2.5,27°,35°,39%
India,New Delhi,August,2,26°,34°,40%
India,New Delhi,September,1.5,25°,34°,23%
India,New Delhi,October,1.5,19°,33°,3%
India,New Delhi,November,2,13°,28°,2%
India,New Delhi,December,2.5,8°,23°,4%
India,New Delhi,January,2.5,8°,21°,6%
India,Hampi,February,2,,,
India,Hampi,March,2.5,,,
India,Hampi,April,1.5,,,
India,Hampi,May,1.5,,,
India,Hampi,June,2,,,
India,Hampi,July,1.5,,,
India,Hampi,August,1.5,,,
India,Hampi,September,1.5,,,
India,Hampi,October,2,,,
India,Hampi,November,3,,,
India,Hampi,December,4,,,
India,Hampi,January,3,,,
India,Tirupati,February,1.5,,,
India,Tirupati,March,2.5,,,
India,Tirupati,April,2.5,,,
India,Tirupati,May,3,,,
India,Tirupati,June,3.5,,,
India,Tirupati,July,3,,,
India,Tirupati,August,2,,,
India,Tirupati,September,1.5,,,
India,Tirupati,October,1.5,,,
India,Tirupati,November,1.5,,,
India,Tirupati,December,2,,,
India,Tirupati,January,2,,,
India,Jodhpur,February,2,12°,29°,3%
India,Jodhpur,March,2,18°,34°,2%
India,Jodhpur,April,2,23°,39°,3%
India,Jodhpur,May,2.5,27°,41°,3%
India,Jodhpur,June,2.5,28°,40°,7%
India,Jodhpur,July,2,27°,36°,25%
India,Jodhpur,August,1.5,26°,34°,27%
India,Jodhpur,September,1.5,25°,36°,7%
India,Jodhpur,October,2,20°,36°,2%
India,Jodhpur,November,2,15°,32°,1%
India,Jodhpur,December,3,11°,27°,1%
India,Jodhpur,January,2.5,10°,26°,2%
India,Ayodhya,February,2.5,,,
India,Ayodhya,March,3,,,
India,Ayodhya,April,2.5,,,
India,Ayodhya,May,3,,,
India,Ayodhya,June,3,,,
India,Ayodhya,July,3,,,
India,Ayodhya,August,2.5,,,
India,Ayodhya,September,1.5,,,
India,Ayodhya,October,1.5,,,
India,Ayodhya,November,2.5,,,
India,Ayodhya,December,1.5,,,
India,Ayodhya,January,1.5,,,
