Country,Destination,Month,Popularity,MinTemp,MaxTemp,Precipitation
Andorra,Soldeu,July,2, 11°,20°,27%
Andorra,Soldeu,August,3, 11°,20°,25%
Andorra,Soldeu,September,2, 8°,16°,25%
Andorra,Soldeu,October,1.5, 5°,12°,23%
Andorra,Soldeu,November,1.5, 0°,7°,33%
Andorra,Soldeu,December,3, -1°,6°,21%
Andorra,Soldeu,January,3, -2°,4°,30%
Andorra,Soldeu,February,3, -4°,3°,37%
Andorra,Soldeu,March,3, -2°,6°,36%
Andorra,Soldeu,April,1.5, 1°,9°,38%
Andorra,Soldeu,May,1.5, 4°,12°,40%
Andorra,Soldeu,June,1.5, 8°,16°,36%
Andorra,El Pas de la Casa,July,1.5, 9°,18°,27%
Andorra,El Pas de la Casa,August,2.5, 10°,18°,25%
Andorra,El Pas de la Casa,September,1.5, 6°,14°,25%
Andorra,El Pas de la Casa,October,1.5, 4°,11°,23%
Andorra,El Pas de la Casa,November,1.5, -1°,5°,33%
Andorra,El Pas de la Casa,December,3.5, -2°,4°,21%
Andorra,El Pas de la Casa,January,4, -4°,3°,30%
Andorra,El Pas de la Casa,February,4, -6°,1°,37%
Andorra,El Pas de la Casa,March,4, -4°,4°,36%
Andorra,El Pas de la Casa,April,1.5, -1°,7°,38%
Andorra,El Pas de la Casa,May,1.5, 2°,10°,40%
Andorra,El Pas de la Casa,June,1.5, 7°,15°,36%
Andorra,El Tarter,July,1.5, 12°,21°,27%
Andorra,El Tarter,August,2.5, 13°,21°,25%
Andorra,El Tarter,September,2, 9°,17°,25%
Andorra,El Tarter,October,1.5, 6°,14°,23%
Andorra,El Tarter,November,1.5, 2°,8°,33%
Andorra,El Tarter,December,3, 0°,7°,21%
Andorra,El Tarter,January,3.5, -1°,6°,30%
Andorra,El Tarter,February,3.5, -3°,4°,37%
Andorra,El Tarter,March,3, -1°,7°,36%
Andorra,El Tarter,April,1.5, 2°,10°,38%
Andorra,El Tarter,May,1.5, 5°,13°,40%
Andorra,El Tarter,June,1.5, 9°,17°,36%
Andorra,Arinsal,July,1.5,,,
Andorra,Arinsal,August,2.5,,,
Andorra,Arinsal,September,2,,,
Andorra,Arinsal,October,2,,,
Andorra,Arinsal,November,2,,,
Andorra,Arinsal,December,2.5,,,
Andorra,Arinsal,January,3,,,
Andorra,Arinsal,February,3,,,
Andorra,Arinsal,March,3,,,
Andorra,Arinsal,April,1.5,,,
Andorra,Arinsal,May,1.5,,,
Andorra,Arinsal,June,1.5,,,
Andorra,Grau Roig,July,2, 9°,18°,27%
Andorra,Grau Roig,August,2, 10°,18°,25%
Andorra,Grau Roig,September,3, 6°,14°,25%
Andorra,Grau Roig,October,2.5, 4°,11°,23%
Andorra,Grau Roig,November,2.5, -1°,5°,33%
Andorra,Grau Roig,December,2.5, -2°,4°,21%
Andorra,Grau Roig,January,2.5, -4°,3°,30%
Andorra,Grau Roig,February,2, -6°,1°,37%
Andorra,Grau Roig,March,2, -4°,4°,36%
Andorra,Grau Roig,April,1.5, -1°,7°,38%
Andorra,Grau Roig,May,1.5, 2°,10°,40%
Andorra,Grau Roig,June,1.5, 7°,15°,36%
Andorra,Canillo,July,, 8°,17°,27%
Andorra,Canillo,August,, 9°,17°,25%
Andorra,Canillo,September,, 5°,13°,25%
Andorra,Canillo,October,, 3°,10°,23%
